urls,name,Address,Email,Phone,Capacity,Tix_Sold,First Name,Title,Directory Phone,Directory Email,Second name,Second title,Second phone,Second email,Third name,Third title,Third phone,Third email,Fourth name,Fourth title,Fourth phone,Fourth email
https://discover.gigwell.com/venues?venueId=59bffb6f2670ab5b829a49a3,"<selenium.webdriver.remote.webelement.WebElement (session=""2a93a272260e30d753b5f69af6988844"", element=""4896F2013E5CF0E576356DA3E0F3EB2C_element_130"")>","60 Abe Voorhees Dr, Manasquan, NJ 08736, USA",boxoffice@algonquinarts.org,+1 732 528 9211,540,0,David,Bookings,+1 732 528 9211,No value,David Applegate,Marketing / PR Dir.,+1 732 528 3735,david@algonquinarts.org,David,,+1 732 528 9211,dweber@algonquinarts.org,David Weber,Operations Dir.,+1 732 528 3803,dweber@algonquinarts.org
https://discover.gigwell.com/venues?venueId=572d121a1e7de860471a5a12,"<selenium.webdriver.remote.webelement.WebElement (session=""2a93a272260e30d753b5f69af6988844"", element=""4896F2013E5CF0E576356DA3E0F3EB2C_element_130"")>","316 11th St, San Francisco, CA 94103, USA",info@audiosf.com,(415) 255-9440,400,400,Peter Doukakis,Bookings,650-274-5736,peter@audiosf.com,Jeremie Habib,Talent Buyer (Boudoir),415-409-1212,jeremie@gigwell.com,,,(310) 869-3364,info@audiosf.com,No value,No value,No value,No value
https://discover.gigwell.com/venues?venueId=5a2600ac2efd2c617059e708,"<selenium.webdriver.remote.webelement.WebElement (session=""2a93a272260e30d753b5f69af6988844"", element=""4896F2013E5CF0E576356DA3E0F3EB2C_element_130"")>","50 Bd Voltaire, 75011 Paris, France",bataclan@wanadoo.fr,0143140030,1500,0,,Bookings,+33 43140030,No value,Jules Frutos,Director,33.43.140.030,aba.bataclan@wanadoo.fr,Olivier Poubelle,Director,33.43.140.030,aba.bataclan@wanadoo.fr,,,+33 143143555,No value
https://discover.gigwell.com/venues?venueId=59de85066dbf861d1e1518c7,"<selenium.webdriver.remote.webelement.WebElement (session=""2a93a272260e30d753b5f69af6988844"", element=""4896F2013E5CF0E576356DA3E0F3EB2C_element_130"")>","316 11th St, San Francisco, CA 94103, USA",info@bergeracsf.com,(415) 255-9440,250,0,Peter Doukakis,Booker,peter@audiosf.com,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value
https://discover.gigwell.com/venues?venueId=5924bef5486fad670be2e2d3,"<selenium.webdriver.remote.webelement.WebElement (session=""2a93a272260e30d753b5f69af6988844"", element=""4896F2013E5CF0E576356DA3E0F3EB2C_element_130"")>","601 Eddy St, San Francisco, CA 94109, USA",info@chambers-sf.com,(415) 496-5178,300,0,Megan Bundy,Chambers GM,925-548-1118,megan@chambers-sf.com,Clarissa Gomez,Events Coordinator,415-625-3735,clarissa@chambers-sf.com,Sean Manchester,Owner and Talent Buyer,smanchester@me.com,No value,Isabel Manchester,Owner,isabelmanchester@me.com,No value
https://discover.gigwell.com/venues?venueId=572d121a1e7de860471a5b39,"<selenium.webdriver.remote.webelement.WebElement (session=""2a93a272260e30d753b5f69af6988844"", element=""4896F2013E5CF0E576356DA3E0F3EB2C_element_130"")>","645 Florida Ave NW, Washington, DC 20001, USA",info@flashdc.com,(202) 827-8791,500,0,Afshin Mottaghi,,afshin@flashdc.com,No value,Joey Susilo,,joeysusilo@yahoo.co.id,No value,,,info@flashdc.com,No value,Navid Zahraie,Talent Buyer,navid@flashdc.com,No value
https://discover.gigwell.com/venues?venueId=572d121b1e7de860471a5bcf,"<selenium.webdriver.remote.webelement.WebElement (session=""2a93a272260e30d753b5f69af6988844"", element=""4896F2013E5CF0E576356DA3E0F3EB2C_element_130"")>","170 East Ave, Rochester, NY 14604, USA",,+1 585-413-5745,300,167,Gerard Fisher,Bookings,+1 585 325 4088,gerard@upallnightpresents.com,Eskay Concerts / Up All NightGerard Fisher,,+1 585 325 4088,gerard@upallnightpresents.com,Gerard,,+1 585 413 5745,gerard@upallnightpresents.com,Matt,,+1 585 413 5745,No value
https://discover.gigwell.com/venues?venueId=55ea1bca4aacde365e15996e,"<selenium.webdriver.remote.webelement.WebElement (session=""2a93a272260e30d753b5f69af6988844"", element=""4896F2013E5CF0E576356DA3E0F3EB2C_element_130"")>","315 Gregory St, Rochester, NY 14620, USA",morgan@creativeconcerts.com,No value,600,335,Gerard Fisher,Bookings,585-325-4088,gerard@upallnightpresents.com,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value
https://discover.gigwell.com/venues?venueId=5739d1254398afbf2839f95d,"<selenium.webdriver.remote.webelement.WebElement (session=""2a93a272260e30d753b5f69af6988844"", element=""4896F2013E5CF0E576356DA3E0F3EB2C_element_130"")>","314 11th St, San Francisco, CA 94103, USA",gina@halcyon-sf.com,415.890.4828,500,350,Gina Milano,Bookings,(415) 890-4828,gina@halcyon-sf.com,Melisa Galvan,Marketing Dir.,415.828.2092,melisa@halcyon-sf.com,Rhia Shumway,Operations Mgr,rhia@halcyon-sf.com,No value,Rhia Shumway,Manager,415.996.9822,rhia@halcyon-sf.com
https://discover.gigwell.com/venues?venueId=59a4b756df2b0b52f10c7862,"<selenium.webdriver.remote.webelement.WebElement (session=""2a93a272260e30d753b5f69af6988844"", element=""4896F2013E5CF0E576356DA3E0F3EB2C_element_130"")>","46 Geary St, San Francisco, CA 94108, USA",info@hawthornsf.com,(415) 693-9255,260,0,Chadwick Baumbach,Owner,(415) 693-9255,chadwick@hawthornsf.com,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value,No value
